Shift JIS,ＪＩＳ,記号,PC-Talker,XP Reader,VDM,JAWS 6.2,フォネティック読み,日本語通用名称,記号の読み,文字種別,大文字／小文字,,,読みの重複,
835C,253D,ソ,ソロバンノソ,ソバ,ソロバンノソ,,ソロバンノソ,,ソ,片仮名,,,,,
835D,253E,ゾ,ゾウキンノゾ,ゾウ,ゾーキンノゾ,ゾクゴノゾ,ゾウキンノゾ,,ゾ,片仮名,,,,,
835E,253F,タ,タバコノタ,タバコ,タバコノタ,,タバコノタ,,タ,片仮名,,,,,
835F,2540,ダ,ダルマノダ,ダンゴ,ダルマノダ,ダルマノダ,ダルマノダ,,ダ,片仮名,,,,,
8360,2541,チ,チドリノチ,チチブ,チドリノチ,,チキュウノチ,,チ,片仮名,,,,,
8361,2542,ヂ,ハナヂノヂ,ロウ？,ハナヂノヂ,チドリノチニダクテン,ハナヂノヂ,,ヂ,片仮名,,,,,
8362,2543,ッ,チイサイツ,チイサイツバメ,チイサイツ,,チイサイツバメノツ,,チイサイツ,片仮名,,,,,
8363,2544,ツ,ツバメノツ,ツバメ,ツバメノツ,,ツバメノツ,,ツ,片仮名,,,,,
8364,2545,ヅ,ツヅミノヅ,ツニダクテン,ツヅミノヅ,ツルカメノツニダクテン,ツヅミノヅ,,ヅ,片仮名,,,,,
8365,2546,テ,テガミノテ,テガミ,テガミノテ,,テガミノテ,,テ,片仮名,,,,,
8366,2547,デ,デンワノデ,デンワ,デンワノデ,デンワノデ,デンワノデ,,デ,片仮名,,,,,
8367,2548,ト,トウキョウノト,トダナ,トウキョウノト,,トウキョウノト,,ト,片仮名,,,,,
8368,2549,ド,ドレミノド,ドア,ドレミノド,ドレミノド,ドレミノド,,ド,片仮名,,,,＊＊,角度の「°」と同じ読み
8369,254A,ナ,ナゴヤノナ,ナットウ,ナゴヤノナ,,ナマエノナ,,ナ,片仮名,,,,,
836A,254B,ニ,ニホンノニ,ニンジン,ニホンノニ,,ニホンノニ,,ニ,片仮名,,,,＊＊,２と同じ読み
836B,254C,ヌ,ヌリエノヌ,ヌイモノ,ヌリエノヌ,,ヌリエノヌ,,ヌ,片仮名,,,,,
836C,254D,ネ,ネズミノネ,ネズミ,ネズミノネ,,ネズミノネ,,ネ,片仮名,,,,,
836D,254E,ノ,ノハラノノ,ノハラ,ノハラノノ,,ノハラノノ,,ノ,片仮名,,,,,
836E,254F,ハ,ハガキノハ,ハッパ,ハガキノハ,,ハガキノハ,,ハ,片仮名,,,,,
836F,2550,バ,バナナノバ,バイキン,バナナノバ,バレーノバ,バナナノバ,,バ,片仮名,,,,,
8370,2551,パ,パンダノパ,パンダ,パンダノパ,パソコンノパ,パジャマノパ,,パ,片仮名,,,,,
8371,2552,ヒ,ヒカリノヒ,ヒトデ,ヒカリノヒ,,ヒカリノヒ,,ヒ,片仮名,,,,,
8372,2553,ビ,ビールノビ,ビール,ビールノビ,ビーズノビ,ビールノビ,,ビ,片仮名,,,,,
8373,2554,ピ,ピアノノピ,ピーマン,ピアノノピ,ピアノノピ,ピアノノピ,,ピ,片仮名,,,,,
8374,2555,フ,フトンノフ,フネ,フトンノフ,,フトンノフ,,フ,片仮名,,,,,
8375,2556,ブ,ブランコノブ,ブタ,ブランコノブ,ブラジルノブ,ブランコノブ,,ブ,片仮名,,,,,
8376,2557,プ,プリントノプ,プール,プリントノプ,プールノプ,プリントノプ,,プ,片仮名,,,,,
8377,2558,ヘ,ヘイワノヘ,ヘチマ,ヘイワノヘ,,ヘイワノヘ,,ヘ,片仮名,,,,,
8378,2559,ベ,ベルトノベ,ベトナム,ベルトノベ,ベンチノベ,ベルトノベ,,ベ,片仮名,,,,,
8379,255A,ペ,ペットノペ,ペンキ,ペットノペ,ペットノペ,ペットノペ,,ペ,片仮名,,,,,
837A,255B,ホ,ホケンノホ,ホタル,ホケンノホ,,ホケンノホ,,ホ,片仮名,,,,,
837B,255C,ボ,ボタンノボ,ボール,ボタンノボ,ボタンノボ,ボタンノボ,,ボ,片仮名,,,,,
837C,255D,ポ,ポストノポ,ポット,ポストノポ,ポストノポ,ポストノポ,,ポ,片仮名,,,,,
837D,255E,マ,マッチノマ,マナイタ,マッチノマ,,マッチノマ,,マ,片仮名,,,,,
837E,255F,ミ,ミカンノミ,ミカン,ミカンノミ,,ミカンノミ,,ミ,片仮名,,,,,
8380,2560,ム,ムセンノム,ムシバ,ムセンノム,,ムシノム,,ム,片仮名,,,,,
8381,2561,メ,メイジノメ,メガネ,メイジノメ,,メガネノメ,,メ,片仮名,,,,,
8382,2562,モ,モミジノモ,モモンガ,モミジノモ,,モミジノモ,,モ,片仮名,,,,,
8383,2563,ャ,チイサイヤ,チイサイヤキイモ,チイサイヤ,,チイサイヤカンノヤ,,チイサイヤ,片仮名,,,,,
8384,2564,ヤ,ヤマトノヤ,ヤキイモ,ヤマトノヤ,,ヤカンノヤ,,ヤ,片仮名,,,,,
8385,2565,ュ,チサイユ,チイサイユミ,チサイユ,,チイサイユカタノユ,,チイサイユ,片仮名,,,,,
8386,2566,ユ,ユミヤノユ,ユミ,ユミヤノユ,,ユカタノユ,,ユ,片仮名,,,,,
8387,2567,ョ,チイサイヨ,チイサイヨット,チイサイヨ,,チイサイヨットノヨ,,チイサイヨ,片仮名,,,,,
8388,2568,ヨ,ヨシノノヨ,ヨット,ヨシノノヨ,,ヨットノヨ,,ヨ,片仮名,,,,,
8389,2569,ラ,ラジオノラ,ラジオ,ラジオノラ,,ラジオノラ,,ラ,片仮名,,,,,
838A,256A,リ,リンゴノリ,リス,リンゴノリ,,リンゴノリ,,リ,片仮名,,,,,
