漢字,田町読み（新しい詳細読み）　ひらがな・漢字
梱,こんぽうするのこん
混,こんざつのこん
痕,こんせきをのこすのこん
紺,こんいろのこん
艮,うしとらのこん
魂,たましい，しんこんのこん
些,ささいのさ，いささか
佐,ほさするのさ
叉,やしゃのしゃ
唆,しさするのさ
嵯,さがてんのうのさ
左,ひだり，さゆうのさ
差,さべつかするのさ
査,けんさのさ
沙,ごぶさたのさ，さんずいにすくない
瑳,せっさたくまのさ，おうへんにさ
砂,さとうのさ，すな
詐,さぎしのさ
鎖,さこくのさ，くさり
裟,おぼうさんのけさのさ
坐,ざせきのざからまだれをとったざ，すわる
座,ざせきのざ，すわる
挫,ねんざのざ，くじく
債,さいむをおうのさい
催,もよおす，かいさいのさい
再,ふたたび，さい
最,さいしょのさい，もっとも
哉,ぜんざいのさい，かな
塞,のうこうそくのそく，ふさがる
妻,ふさいのさい，つま
宰,そうりをいみするさいしょうのさい
彩,しきさいのさい，いろどる
才,さいのうのさい
採,さいようのさい，とる
栽,さいばいするのさい
歳,さいげつのさい，とし
済,きゅうさいするのさい，すます
災,さいなんのさい，わざわい
采,はくしゅかっさいのさい
犀,どうぶつのさい
砕,くだく，ふんさいするのさい
砦,とりで，これのしたにいし
祭,さいじつのさい，まつり
斎,しょさいにこもるのさい
細,ほそいふといのほそい，さい
菜,やさいのさい，な
裁,さいばんのさい，さばく
載,れんさいのさい，のせる
際,じっさいのさい
剤,やくざいしのざい
在,そんざいのざい
材,ざいりょうのざい
罪,はんざいのざい，つみ
財,ざいさんのざい
冴,めがさえるのさえる
坂,さかみちのさか
阪,おおさかのさか，はん
堺,おおさかふさかいしのさかい
榊,しょくぶつのさかき，きへんにかみさまのかみ
肴,しゅこうのこう，さかな
咲,はながさくのさく
崎,ながさきのさき
埼,さいたまけんのいちもじめのさき
碕,いしへんにきみょうなのき
鷺,しらさぎのさぎ
作,さくぶんのさく，つくる
削,さくげんするのさく，けずる
咋,さくねんのさくのひへんのかわりにくちへん
搾,さくしゅのさく，しぼる
昨,さくねんのさく
朔,さくじつのさく，ついたち
柵,さくでかこむのさく
窄,しやきょうさくのさく，すぼまる
策,さくりゃくのさく
索,さくいんのさく
錯,さくらんするのさく
桜,さくら
鮭,さけ，さかなへんにつちふたつ
笹,しょくぶつのささ
匙,さじかげんのさじ
冊,いっさつにさつのさつ
刷,いんさつのさつ，する
察,けいさつのさつ
拶,あいさつのさつ
撮,さつえいするのさつ，とる
擦,まさつのさつ，する
札,なふだのふだ，さつ
殺,さつじんのさつ，ころす
薩,さつまはんのさつ
雑,ざつおんのざつ
皐,しょくぶつのさつき
鯖,さば，さかなへんにあお
捌,うりさばくのさばく，てへんにわかれる
錆,さびどめのさび
鮫,さめ，さかなへんにまじわる
皿,さらうどんのさら
晒,さらしもめんのさらし
三,かんすうじのさん
傘,らっかさんのさん，かさ
参,さんかするのさん，まいる
山,やま，さんみゃくのさん
惨,ざんぱいするのざん，みじめ
撒,みずをまくのまく，さん
散,さんぽのさん，ちる
桟,さんばしのさん
燦,さんぜんとかがやくのさん
珊,さんごしょうのさん
産,ざいさんのさん
算,さんすうのさん
纂,じしょをへんさんするのさん
蚕,ようさんのさん，かいこ
讃,ごんべんのついたさんびかのさん
賛,さんせいするのさん
酸,さんそのさん
餐,ばんさんのさん
斬,ざんしんなのざん，きる
暫,ざんていてきのざん，しばらく
残,ざんねんのざん，のこる
仕,しごとのし，つかえる
仔,しさいなのし，にんべんにこどものこ
伺,しんたいうかがいのうかがい
使,しようするのし，つかう
刺,しげきするのし，さす
司,しかいしゃのし
史,れきしてきのし
嗣,よつぎのつぎ，せいしのし
四,かんすうじのよん
士,べんごしのし
始,かいしするのし，はじめる
姉,あね，しまいのし
姿,すがた，しせいのし
子,こどものこ
屍,しかばね
市,しやくしょのし，いち
師,ぼくしのし
志,こころざす，いしのし
思,ふしぎのし，おもう
指,しどうするのし，ゆび
支,しえんするのし，ささえる
孜,つとむ，こへんにのぶん
斯,しかいのけんいのし，かく
施,しせつのし，ほどこす
旨,ろんしをのべるのし，むね
枝,きのえだのえだ
止,きんしするのし，とめる
死,しぼうのし，しぬ
氏,しめいのし，うじ
獅,ししまいのいちもじめのし
祉,しゃかいふくしのし
私,してつのし，わたし
糸,けいとのいと，し
紙,がようしのし，かみ
紫,しがいせんのし，むらさき
肢,せんたくしのし
脂,しぼうのし，あぶら
至,しきゅうのし，いたる
視,しりょくけんさのし
詞,さくしさっきょくのし
詩,しをつくるのし
試,しあいのし，こころみる
誌,ざっしのし
諮,しもんするのし，はかる
資,しげんのし
賜,おんしのし，たまわる
雌,おすめすのめす，し
飼,しいくのし，かう
歯,はぶらしのは，し
事,じけんのじ，こと
似,るいじのじ，にる
侍,じじゅうのじ，さむらい
児,じどうせいとのじ
字,ろーまじのじ
寺,てら，じいんのじ
慈,じひぶかいのじ，いつくしむ
持,じぞくするのじ，もつ
時,じかんのじ，とき
次,もくじのじ，つぎ
滋,じようきょうそうのじ
治,せいじのじおさめる
爾,そつじながらのじ，なんじ
璽,ぎょめいぎょじのじ
痔,いぼじのじ
磁,じしゃくのじ
示,てんじするのじ，しめす
而,しこうして，けいじじょうのじ
耳,みみ，じびかのじ
自,じてんしゃのじ，みずから
蒔,たねをまくのまく
辞,こくごじてんのじ
汐,ちょうせきのせき，しお
鹿,どうぶつのしか
式,にゅうがくしきのしき
識,ちしきのしき
鴫,しぎやきのしぎ
竺,てんじくのじく
軸,かけじくのじく
宍,しし，うかんむりにかんすうじのろく
雫,しずく，あめかんむりにした
七,かんすうじのなな
叱,しかる，しっせきするのしつ
執,しつじのしつ，とる
失,しつれんのしつうしなう
嫉,しっとするのしつ，そねむ
室,きょうしつのしつ
悉,しっかいのしつ，ことごとく
湿,しつどのしつ，しめる
漆,うるしぬりのうるし，しつ
疾,しっぺいのしつ
質,しつもんのしつ
実,じつりょくのじつ，み
蔀,しとみ，くさかんむりにぶちょうのぶ
篠,しのだけのしの
偲,こじんをしのぶのしのぶ
柴,しばいぬのしば，たきぎのしば
芝,しばふのしば
屡,しばしば
蕊,めしべのしべ，ずい
縞,しまもようのしま
舎,がっこうのこうしゃのしゃ
写,しゃしんのしゃ，うつす
射,はんしゃのしゃ
捨,ししゃごにゅうのしゃ，すてる
赦,おんしゃのしゃ，ゆるす
斜,ななめ，しゃめんのしゃ
煮,にもののに，しゃふつのしゃ
社,しゃかいのしゃ，やしろ
紗,おりもののしゃ，いとへんにすくない
者,がくしゃのしゃ，もの
謝,かんしゃするのしゃ
車,くるま，でんしゃのしゃ
遮,しゃだんするのしゃ，さえぎる
蛇,へび，だいじゃのじゃ
邪,じゃまのじゃ，よこしま
借,しゃくようのしゃくかりる
勺,ようせきのたんいのしゃく，つつみがまえにてん
尺,しゃくはちのしゃく
杓,しゃくしじょうぎのしゃく
灼,しゃくねつのしゃく
爵,はくしゃくのしゃく
酌,ばんしゃくのしゃく
釈,しゃくほうするのしゃく
錫,きんぞくのすず，しゃく
若,わかもののわか
寂,せいじゃくのじゃく，さびしい
弱,きょうじゃくのじゃく，よわい
惹,じゃっきするのじゃく，ひく
主,しゅじんこうのしゅ，ぬし
取,しゅざいのしゅ，とる
守,しゅびのしゅ，まもる
手,てあしのて，しゅ
朱,しゅいろのしゅ
殊,とくしゅのしゅ，ことに
狩,しゅりょうのしゅ，かり
珠,しゅざんのしゅ，たま
種,しゅるいのしゅ，たね
腫,しゅようのしゅ，はれる
趣,しゅみのしゅ，おもむき
酒,さけ，にほんしゅのしゅ
首,しゅとのしゅ，くび
儒,じゅがくのじゅ
受,じゅけんのじゅ，うける
呪,のろう，じゅもんのじゅ
寿,ことぶき，じゅみょうのじゅ
授,じゅぎょうのじゅ，さずける
樹,じゅもくのじゅ
綬,しじゅほうしょうのじゅ，いとへんにうける
需,ひつじゅひんのじゅ
囚,しゅうじんのしゅう，とらわれる
収,しゅうにゅうのしゅう，おさめる
周,しゅうへんのしゅう，まわり
宗,しゅうきょうかいかくのしゅう
就,しゅうしょくのしゅう，つく
州,きゅうしゅうちほうのしゅう
修,しゅうりするのしゅう
愁,あいしゅうのしゅう，うれい
拾,おかねをひろうのひろう
洲,さんかくすのす，さんずいつき
秀,しゅうさいのしゅう，ひいでる
秋,あきまつりのあき，しゅう
終,しゅうぎょうしきのしゅう，おわる
繍,ししゅうするのしゅう
習,れんしゅうのしゅう，ならう
臭,くさい，あくしゅう
舟,ごえつどうしゅうのしゅう，ふね
蒐,くさかんむりにおにのしゅう
衆,しゅうぎいんのしゅう
襲,しゅうげきのしゅう，おそう
讐,ふくしゅうするのしゅう，あだ
蹴,ける，しゅうきゅうのしゅう
輯,へんしゅうのしゅう，くるまへんにくちにみみ
週,いっしゅうかんのしゅう
酋,しゅうちょうのしゅう
酬,ほうしゅうのしゅう
集,しゅうごうするのしゅう，あつまる
醜,しゅうたいのしゅう，みにくい
什,じゅうきのじゅう，にんべんにかんすうじのじゅう
住,じゅうしょのじゅう，すむ
充,じゅうじつのじゅう
十,かんすうじのじゅう
従,じゅうじするのじゅう，したがう
戎,えびす，ほこがまえのじゅう
柔,じゅうどうのじゅう，やわらかい
汁,みそしるのしる，かじゅうのじゅう
渋,じゅうたいするのじゅう，しぶい
獣,やじゅうのじゅう，けもの
縦,たてよこのたて，じゅう
重,たいじゅうのじゅう，おもい
銃,けんじゅううのじゅう
叔,おじおばのしゅく
夙,つとに，しゅく
宿,しゅくはくのしゅく，やど
淑,しゅくじょのしゅく
祝,しゅくじつのしゅく，いわう
