漢字,田町読み（新しい詳細読み）　カタカナ,田町読み（新しい詳細読み）　ひらがな
改,カイリョウノカイ，アラタメル,かいりょうのかい，あらためる
魁,キョカイノカキ，サキガケ,きょかいのかき，さきがけ
晦,ミソカ，ニチヘンニマイ,みそか，にちへんにまい
械,キカイテキノカイ,きかいてきのかい
海,ウミ，カイガイノカイ,うみ，かいがいのかい
灰,ハイイロノハイ,はいいろのはい
界,セカイノカイ,せかいのかい
皆,ミナサマノミナ，カイ,みなさまのみな，かい
絵,エホンノエ,えほんのえ
芥,アクタガワショウノアクタ,あくたがわしょうのあくた
蟹,カニ,かに
開,カイハツノカイ，ヒラク,かいはつのかい，ひらく
階,カイダンヲノボルノカイ,かいだんをのぼるのかい
貝,カイガラノカイ,かいがらのかい
凱,ガイセンモンノガイ,がいせんもんのがい
劾,ダンガイスルノガイ,だんがいするのがい
外,ガイコクノガイ，ソト,がいこくのがい，そと
咳,セキバライノセキ,せきばらいのせき
害,サイガイノガイ,さいがいのがい
崖,ガケ，ダンガイノガイ,がけ，だんがいのがい
慨,カンガイムリョウノガイ,かんがいむりょうのがい
概,ガイネンノガイ，オオムネ,がいねんのがい，おおむね
涯,イッショウガイノガイ,いっしょうがいのがい
碍,ユウズウムゲノゲ，ガイ,ゆうずうむげのげ，がい
蓋,ズガイコツノガイ，フタ,ずがいこつのがい，ふた
街,ガイロジュノガイ,がいろじゅのがい
該,ガイトウスルノガイ,がいとうするのがい
鎧,ヨロイ，ガイシュウイッショクノガイ,よろい，がいしゅういっしょくのがい
骸,ガイコツノガイ，ムクロ,がいこつのがい，むくろ
浬,タンイノカイリ，サンズイニサト,たんいのかいり，さんずいにさと
馨,ジンメイノカオル，ケイ，カグワシイ,じんめいのかおる，けい，かぐわしい
蛙,ドウブツノカエル,どうぶつのかえる
垣,カキネノカキ,かきねのかき
柿,クダモノノカキ,くだもののかき
蛎,ウミノカキ，レイ,うみのかき，れい
鈎,カギ，カネヘンニツツミガマエニム,かぎ，かねへんにつつみがまえにむ
劃,ワカツ，カクゼンノカク,わかつ，かくぜんのかく
嚇,イカクスルノカク,いかくするのかく
各,カクジノカク，オノオノ,かくじのかく，おのおの
廓,ユウカクノカク，クルワ,ゆうかくのかく，くるわ
拡,カクダイノカク,かくだいのかく
撹,カクランスルノカク,かくらんするのかく
格,ゴウカクノカク,ごうかくのかく
核,カクカゾクノカク,かくかぞくのかく
殻,カイガラノガラ，カク,かいがらのがら，かく
獲,カクトクノカク，エル,かくとくのかく，える
確,カクニンノカク，タシカ,かくにんのかく，たしか
穫,シュウカクスルノカク，トリイレル,しゅうかくするのかく，とりいれる
覚,カンカクノカク，オボエル,かんかくのかく，おぼえる
角,カクドノカク，ツノ,かくどのかく，つの
赫,アカヲフタツナラベタカク,あかをふたつならべたかく
較,ヒカクテキノカク,ひかくてきのかく
郭,リンカクノカク，クルワ,りんかくのかく，くるわ
閣,テンシュカクノカク,てんしゅかくのかく
隔,カンカクノカク，ヘダタリ,かんかくのかく，へだたり
革,カクメイノカク,かくめいのかく
学,マナブ，ガクシュウノガク,まなぶ，がくしゅうのがく
岳,サンガクノガク，タケ,さんがくのがく，たけ
楽,オンガクノガク，タノシイ,おんがくのがく，たのしい
額,キンガクノガク，ヒタイ,きんがくのがく，ひたい
顎,アゴ，ガク,あご，がく
掛,カケブトンノカケ,かけぶとんのかけ
笠,ハナガサノカサ,はながさのかさ
樫,カシノキノカシ,かしのきのかし
橿,カシハラジングウノカシ,かしはらじんぐうのかし
梶,カジノキノカジ，キヘンニオ,かじのきのかじ，きへんにお
鰍,カジカ，ウオヘンニアキ,かじか，うおへんにあき
潟,ニイガタケンノカタ,にいがたけんのかた
割,ワリアイノワリ,わりあいのわり
喝,キョウカツスルノカツ,きょうかつするのかつ
恰,カップクガヨイノカツ，アタカモ,かっぷくがよいのかつ，あたかも
括,ソウカツノカツ，ククル,そうかつのかつ，くくる
活,セイカツノカツ,せいかつのかつ
渇,カツボウスルノカツ，カワク,かつぼうするのかつ，かわく
滑,エンカツノカツ，ナメラカ,えんかつのかつ，なめらか
